model_id,short_name,params_numeric,dim,tier,english_only,dataset,ndcg_at_10,recall_at_10,mrr
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,hi_finance,9.975726822777933,16.923076923076923,7.889621489621488
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,hi_finance,70.73757829929944,76.3076923076923,68.90244200244202
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,hi_finance,71.17476446775035,77.84615384615384,69.04163614163615
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,hi_finance,73.46956592808858,77.84615384615384,72.03675213675214
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,hi_finance,69.40123918715237,75.38461538461539,67.51440781440782
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,hi_finance,19.439828656912244,28.307692307692307,16.705738705738707
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,1024,medium,False,hi_finance,75.08817032677901,77.53846153846153,74.28791208791208
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,hi_finance,71.69666789631904,77.53846153846153,69.77338217338217
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,hi_finance,78.13281428069713,83.07692307692308,76.57643467643467
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,1024,medium,False,hi_finance,77.16733170401562,81.53846153846153,75.74188034188035
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,hi_finance,75.48717197343495,80.92307692307692,73.7008547008547
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,hi_finance,77.34040442720807,80.61538461538461,76.29951159951159
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,hi_finance,81.25893973633033,84.92307692307692,80.04957264957264
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,hi_finance,73.03323149291252,79.07692307692308,71.12258852258853
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,hi_finance,48.9182919078881,63.07692307692307,44.38400488400489
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,hi_finance,75.95369365390762,80.0,74.63028083028084
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,hi_finance,78.46810722372875,82.76923076923077,77.06703296703297
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,hi_law,5.006020067565285,9.90566037735849,3.549809074573225
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,hi_law,43.400948143643305,58.25471698113207,38.77152590595988
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,hi_law,58.02007920685036,71.69811320754717,53.770964360587
