model_id,short_name,params_numeric,tier,dataset,query_type,ndcg_at_10,recall_at_10,mrr
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,factual,9.856741653434476,16.76300578034682,7.776172125883109
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,factual,62.75893863823981,68.20809248554913,60.91522157996147
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_finance,factual,64.96623660790351,71.09826589595376,62.99912836040004
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,factual,66.53956043724196,71.67630057803468,64.88118175979447
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,factual,64.42778474745002,69.94219653179191,62.72387374988531
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,factual,20.12837542385108,28.901734104046245,17.441279016423525
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_finance,factual,67.55151574183147,70.52023121387283,66.61023947151115
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,factual,66.19173474883033,70.52023121387283,64.77429121937791
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,factual,70.6484539143834,76.878612716763,68.74506835489495
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_finance,factual,68.8806444116411,74.56647398843931,67.01991008349391
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,factual,69.76225401840176,75.14450867052022,68.04110468850352
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,factual,69.01845018269766,73.98843930635837,67.47018075052758
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,factual,74.02183219552808,78.61271676300578,72.5208734746307
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,factual,64.87477644948287,72.25433526011561,62.55940912010276
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,factual,40.75763092001728,56.06936416184971,35.83883842554363
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,factual,67.00202769439673,71.67630057803468,65.48077805303238
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,factual,70.59169925717836,76.30057803468208,68.74827965868428
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,multi_hop,6.643850107552039,13.592233009708735,4.640930805979349
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,multi_hop,72.09832633569071,78.64077669902912,70.00500847588226
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_finance,multi_hop,70.47101631934154,78.64077669902912,67.90953922021883
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,multi_hop,72.97344632025177,77.66990291262135,71.39967637540452
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,multi_hop,64.88553421166381,73.7864077669903,62.04808136846971
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,multi_hop,15.79456188444078,23.300970873786408,13.47318539066112
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_finance,multi_hop,76.253885024361,78.64077669902912,75.4368932038835
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,multi_hop,69.81289000687788,78.64077669902912,66.88781014023732
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,multi_hop,81.21185905702679,85.43689320388349,79.80043149946063
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_finance,multi_hop,81.91112009589199,84.46601941747572,81.11650485436893
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,multi_hop,75.95537634981372,81.55339805825243,74.06148867313915
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,multi_hop,81.25488938370515,82.52427184466019,80.8252427184466
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,multi_hop,85.57378173213175,88.3495145631068,84.66019417475728
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,multi_hop,75.60742004518248,80.58252427184466,74.03297888734782
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,multi_hop,52.37564676667044,66.01941747572816,48.00662659885961
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,multi_hop,80.75158927839855,84.46601941747572,79.54692556634303
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,multi_hop,81.93952307009694,85.43689320388349,80.77669902912622
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,summarization,17.39955816899599,24.489795918367346,15.11904761904762
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,summarization,96.04671327103448,100.0,94.7845804988662
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_finance,summarization,94.57397628488523,100.0,92.75510204081633
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,summarization,98.9795918367347,100.0,98.63945578231292
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,summarization,96.4527745043733,97.95918367346938,95.91836734693877
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,summarization,24.671336552506983,36.734693877551024,20.903790087463555
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_finance,summarization,99.24679541545196,100.0,98.9795918367347
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,summarization,95.09223028668625,100.0,93.488824101069
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,summarization,98.08491084009154,100.0,97.44897959183672
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_finance,summarization,96.4527745043733,100.0,95.23809523809524
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,summarization,94.71545269698036,100.0,92.9251700680272
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_finance,summarization,98.49359083090393,100.0,97.95918367346938
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,summarization,97.74038624635584,100.0,96.93877551020408
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,summarization,96.42652336290284,100.0,95.23809523809524
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,summarization,70.46292048844059,81.63265306122449,66.93877551020407
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,summarization,97.4731826676386,100.0,96.5986394557823
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,summarization,98.9795918367347,100.0,98.63945578231292
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,factual,6.490416753563485,13.450292397660816,4.400120672050496
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,factual,52.02085944498037,66.08187134502924,47.64875150840064
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,hi_law,factual,71.15019276271128,83.04093567251462,67.44360902255639
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,factual,71.71231626262248,84.7953216374269,67.56544138123087
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,factual,68.16217188472244,83.62573099415205,63.30780655342059
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,factual,24.298269604407743,33.91812865497076,21.298616912652
intfloat/multilingual-e5-large-instruct,ml-e5-large-instruct,560000000,medium,hi_law,factual,53.74001372969918,69.5906432748538,48.81184442587952
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,factual,67.37449597709622,79.53216374269006,63.49809709458832
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,factual,70.58816222340946,84.7953216374269,66.08163928339367
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake,568000000,medium,hi_law,factual,51.30711999778698,70.76023391812866,45.28056251740462
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,factual,70.06254512206972,85.38011695906432,65.34321915900864
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,qwen_sub1b,hi_law,factual,68.0452277435599,83.04093567251462,63.32103406664811
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,factual,67.16177929774557,79.53216374269006,63.28042328042328
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,factual,49.33797441724978,63.1578947368421,44.9607815835886
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,factual,14.01494689944598,22.807017543859647,11.298616912652
