model_id,short_name,params_numeric,dim,tier,english_only,language,mteb_agg_score,lang_specific_avg,gap,gap_pct,n_tasks,source,task_BelebeleRetrieval,task_WikipediaRetrievalMultilingual,task_MIRACLRetrievalHardNegatives,task_MLQARetrieval
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,italian,77.0,90.7705,13.7705,17.8838,2,own_run,92.3209,89.2201,,
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,italian,41.6,75.9856,34.3856,82.6577,2,own_run,74.1997,77.7715,,
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,italian,65.0,86.451,21.451,33.0015,2,own_run,86.9722,85.9298,,
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,italian,72.0,93.009,21.009,29.1792,2,own_run,93.8223,92.1957,,
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,italian,79.7,92.072,12.372,15.5232,2,own_run,94.2487,89.8953,,
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,False,italian,84.2,93.7608,9.5607,11.3548,2,own_run,95.1127,92.4088,,
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,False,italian,83.8,92.1411,8.3411,9.9536,2,own_run,92.5548,91.7274,,
BAAI/bge-m3,bge-m3,568000000,1024,medium,False,italian,84.0,91.8902,7.8902,9.3931,2,own_run,93.6625,90.1179,,
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,False,italian,82.3,65.2665,-17.0335,-20.6968,2,own_run,66.186,64.347,,
intfloat/e5-large-v2,e5-large-v2,335000000,1024,medium,True,italian,56.4,82.1129,25.7129,45.5902,2,own_run,80.6866,83.5392,,
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,False,italian,78.0,90.9371,12.9371,16.586,2,own_run,91.7582,90.116,,
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,600000000,1024,qwen_sub1b,False,italian,77.9,91.107,13.207,16.9538,2,own_run,92.4189,89.7951,,
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,2560,large,False,italian,86.2,93.903,7.703,8.9362,2,own_run,94.5884,93.2176,,
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,4096,large,False,italian,80.3,94.0103,13.7103,17.0738,1,own_run,94.0103,,,
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,4096,large,False,italian,79.6,89.4703,9.8703,12.3999,1,leaderboard,89.4703,,,
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,False,italian,87.0,37.5642,-49.4358,-56.8228,2,own_run,28.8328,46.2955,,
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,4096,xlarge,False,italian,90.4,95.9952,5.5952,6.1894,2,own_run,98.5054,93.4851,,
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,False,japanese,77.0,77.8409,0.8409,1.0921,2,own_run,91.7568,,63.9251,
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,True,japanese,41.6,22.8214,-18.7786,-45.141,2,own_run,40.8254,,4.8173,
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,False,japanese,65.0,74.5041,9.5041,14.6216,2,own_run,88.1465,,60.8616,
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,False,japanese,72.0,76.1113,4.1113,5.7101,2,own_run,93.1422,,59.0804,
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,False,japanese,79.7,78.7918,-0.9082,-1.1395,2,own_run,92.5168,,65.0668,
