model_id,is_cluster_member,n_languages_affected
KaLM-Gemma3-12B,False,0
Qwen3-8B,False,0
harrier-0.6b,True,10
Qwen3-4B,False,0
pplx-embed-4b,False,0
nemotron-8b,False,0
inf-retriever-v1,True,4
F2LLM-v2-14B,False,0
Seed1.6-embed,True,6
F2LLM-v2-8B,False,0
pplx-embed-0.6b,False,0
granite-311m,True,16
jina-v5-small,False,0
Qwen3-0.6B,False,0
F2LLM-v2-4B,False,0
voyage-3.5,False,0
jina-v5-nano,False,0
zembed-1,False,0
embeddinggemma-300m,False,0
BOOM-4B,False,0
BidirLM-2.5B,False,0
GritLM-7B,False,0
BidirLM-1B,False,0
bge-m3,False,0
ml-e5-small,False,0
granite-97m-r2,True,0
