model_id,task_name,ndcg_at_10
KaLM-Gemma3-12B,AILAStatutes,0.56263
KaLM-Gemma3-12B,ArguAna,0.70307
KaLM-Gemma3-12B,BelebeleRetrieval,0.888679414893617
KaLM-Gemma3-12B,CovidRetrieval,0.82391
KaLM-Gemma3-12B,HagridRetrieval,0.98896
KaLM-Gemma3-12B,LEMBPasskeyRetrieval,1.0
KaLM-Gemma3-12B,LegalBenchCorporateLobbying,0.94694
KaLM-Gemma3-12B,MIRACLRetrievalHardNegatives,0.6607966666666667
KaLM-Gemma3-12B,MLQARetrieval,0.8201993877551021
KaLM-Gemma3-12B,SCIDOCS,0.24006
KaLM-Gemma3-12B,SpartQA,0.8483
KaLM-Gemma3-12B,StackOverflowQA,0.95598
KaLM-Gemma3-12B,StatcanDialogueDatasetRetrieval,0.35038499999999995
KaLM-Gemma3-12B,TRECCOVID,0.84572
KaLM-Gemma3-12B,TempReasonL1,0.07171
KaLM-Gemma3-12B,TwitterHjerneRetrieval,0.90399
KaLM-Gemma3-12B,WikipediaRetrievalMultilingual,0.918124375
KaLM-Gemma3-12B,WinoGrande,0.89889
Qwen3-8B,AILAStatutes,0.85086
Qwen3-8B,ArguAna,0.76852
Qwen3-8B,BelebeleRetrieval,0.8881362234042552
Qwen3-8B,CovidRetrieval,0.87653
Qwen3-8B,HagridRetrieval,0.98915
Qwen3-8B,LEMBPasskeyRetrieval,0.8474999999999999
Qwen3-8B,LegalBenchCorporateLobbying,0.95203
Qwen3-8B,MIRACLRetrievalHardNegatives,0.7057716666666667
Qwen3-8B,MLQARetrieval,0.8354706122448979
Qwen3-8B,SCIDOCS,0.32742
Qwen3-8B,SpartQA,0.15715
Qwen3-8B,StackOverflowQA,0.94751
Qwen3-8B,StatcanDialogueDatasetRetrieval,0.2678575
Qwen3-8B,TRECCOVID,0.94991
Qwen3-8B,TempReasonL1,0.01346
Qwen3-8B,TwitterHjerneRetrieval,0.78199
Qwen3-8B,WikipediaRetrievalMultilingual,0.9196018749999999
Qwen3-8B,WinoGrande,0.54225
harrier-0.6b,AILAStatutes,0.37692
harrier-0.6b,ArguAna,0.64987
harrier-0.6b,BelebeleRetrieval,0.7741892553191488
harrier-0.6b,CovidRetrieval,0.83566
harrier-0.6b,HagridRetrieval,0.98836
harrier-0.6b,LEMBPasskeyRetrieval,0.8182637500000001
harrier-0.6b,LegalBenchCorporateLobbying,0.94247
harrier-0.6b,MIRACLRetrievalHardNegatives,0.6635294444444445
harrier-0.6b,MLQARetrieval,0.7299753061224492
harrier-0.6b,SCIDOCS,0.23365
harrier-0.6b,SpartQA,0.84689
harrier-0.6b,StackOverflowQA,0.93694
harrier-0.6b,StatcanDialogueDatasetRetrieval,0.2935525
harrier-0.6b,TRECCOVID,0.86952
harrier-0.6b,TempReasonL1,0.3191
harrier-0.6b,TwitterHjerneRetrieval,0.6434
harrier-0.6b,WikipediaRetrievalMultilingual,0.85075625
harrier-0.6b,WinoGrande,0.83684
Qwen3-4B,AILAStatutes,0.81194
Qwen3-4B,ArguAna,0.7564
Qwen3-4B,BelebeleRetrieval,0.8116209840425532
Qwen3-4B,CovidRetrieval,0.87373
Qwen3-4B,HagridRetrieval,0.98766
Qwen3-4B,LEMBPasskeyRetrieval,0.8472324999999999
Qwen3-4B,LegalBenchCorporateLobbying,0.95417
Qwen3-4B,MIRACLRetrievalHardNegatives,0.6949377777777779
Qwen3-4B,MLQARetrieval,0.8192095918367347
Qwen3-4B,SCIDOCS,0.31444
Qwen3-4B,SpartQA,0.2015
Qwen3-4B,StackOverflowQA,0.94323
Qwen3-4B,StatcanDialogueDatasetRetrieval,0.281175
Qwen3-4B,TRECCOVID,0.92924
Qwen3-4B,TempReasonL1,0.01226
Qwen3-4B,TwitterHjerneRetrieval,0.72577
Qwen3-4B,WikipediaRetrievalMultilingual,0.912278125
Qwen3-4B,WinoGrande,0.51511
pplx-embed-4b,AILAStatutes,0.60998
pplx-embed-4b,ArguAna,0.69988
pplx-embed-4b,BelebeleRetrieval,0.7787716489361701
pplx-embed-4b,CovidRetrieval,0.77496
pplx-embed-4b,HagridRetrieval,0.98769
pplx-embed-4b,LEMBPasskeyRetrieval,0.91743375
pplx-embed-4b,LegalBenchCorporateLobbying,0.94849
pplx-embed-4b,MIRACLRetrievalHardNegatives,0.6624183333333333
pplx-embed-4b,MLQARetrieval,0.8334497959183673
pplx-embed-4b,SCIDOCS,0.23868
pplx-embed-4b,SpartQA,0.23301
pplx-embed-4b,StackOverflowQA,0.9361
pplx-embed-4b,StatcanDialogueDatasetRetrieval,0.38771500000000003
pplx-embed-4b,TRECCOVID,0.8561
pplx-embed-4b,TempReasonL1,0.01187
pplx-embed-4b,TwitterHjerneRetrieval,0.75674
pplx-embed-4b,WikipediaRetrievalMultilingual,0.926849375
pplx-embed-4b,WinoGrande,0.82399
nemotron-8b,AILAStatutes,0.54027
nemotron-8b,ArguAna,0.75667
nemotron-8b,BelebeleRetrieval,0.8604118617021277
nemotron-8b,CovidRetrieval,0.79531
nemotron-8b,HagridRetrieval,0.9897
nemotron-8b,LEMBPasskeyRetrieval,0.8478275
nemotron-8b,LegalBenchCorporateLobbying,0.96153
nemotron-8b,MIRACLRetrievalHardNegatives,0.7304805555555556
nemotron-8b,MLQARetrieval,0.8388200000000001
nemotron-8b,SCIDOCS,0.28167
nemotron-8b,SpartQA,0.1586
nemotron-8b,StackOverflowQA,0.96586
nemotron-8b,StatcanDialogueDatasetRetrieval,0.27562
nemotron-8b,TRECCOVID,0.8819
nemotron-8b,TempReasonL1,0.08053
nemotron-8b,TwitterHjerneRetrieval,0.81387
nemotron-8b,WikipediaRetrievalMultilingual,0.930133125
nemotron-8b,WinoGrande,0.51751
inf-retriever-v1,AILAStatutes,0.37727
inf-retriever-v1,ArguAna,0.84855
inf-retriever-v1,BelebeleRetrieval,0.7736756914893618
inf-retriever-v1,CovidRetrieval,0.8777
inf-retriever-v1,HagridRetrieval,0.9897
inf-retriever-v1,LEMBPasskeyRetrieval,0.8002175
inf-retriever-v1,LegalBenchCorporateLobbying,0.9618
